id,hhb,hbo2,ca,na
10000,6.147464,2.5898273,7.9869466,3.7347567
10001,5.626769,4.0675755,8.44583,3.1896658
10002,5.3937316,3.898049,7.933509,2.4132469
10003,7.9299064,4.3159575,8.549193,2.682469
10004,6.859275,5.1951795,9.9405775,2.1587033
10005,8.141537,3.6925502,9.460601,3.12657
10006,4.9327245,4.5589666,11.267763,4.263355
10007,8.455762,4.2311077,8.855844,3.8134768
10008,9.017118,4.901017,10.012877,3.1820989
10009,7.4672866,4.191352,9.9353075,4.496665
10010,7.1874003,4.4575806,9.532381,4.3813066
10011,7.9391904,4.0861406,8.777589,4.0198336
10012,4.378685,3.7095153,8.210098,2.0929317
10013,5.9887576,4.355217,11.188292,2.9500105
10014,8.639165,3.4704578,10.434414,2.4051313
10015,4.773928,3.8290524,6.541532,2.9685364
10016,8.063658,4.0861974,10.610653,3.2687895
10017,9.018667,3.9585433,10.14722,3.5761409
10018,8.370873,4.2799997,8.142786,2.7917936
10019,8.217779,4.852054,9.386042,0.6286477
10020,8.538386,4.5386486,8.599238,4.676762
10021,8.041615,4.505816,10.456052,2.95337
10022,7.845691,4.391266,7.497498,1.9516636
10023,8.41955,3.8082166,9.273903,3.4639404
10024,5.731466,4.209771,5.8157897,3.2218952
10025,8.77907,3.9585445,9.114046,3.0174398
10026,8.435123,4.840592,9.655157,2.394379
10027,8.415962,4.2399454,9.609675,3.9247003
10028,7.887748,4.303981,8.79016,0.35743225
10029,8.870558,3.9773893,9.889993,3.7709246
10030,7.185542,3.8942318,10.167399,2.4541652
10031,6.719234,3.7325833,8.959916,3.0076272
10032,5.969814,4.0938606,8.400574,2.6551094
10033,8.961903,4.098999,10.8159075,3.608122
10034,4.8061543,4.3960204,8.500036,3.962805
10035,8.300556,4.2396817,9.277418,2.7947156
10036,8.695936,4.129959,6.2517734,5.44297
10037,8.234707,3.832403,9.358782,3.7254422
10038,9.107464,3.881074,7.767787,2.899667
10039,6.7560205,3.5868702,10.944285,3.627698
10040,6.0476007,3.220698,6.2912908,2.5277662
10041,7.8255153,4.2267427,9.592978,2.6293714
10042,8.067824,3.9610841,7.7441816,3.6870618
10043,9.525549,3.6323113,9.022798,2.977353
10044,7.4499226,3.8687215,9.41486,1.8782816
10045,7.3431664,3.9251552,8.485481,4.324731
10046,8.280474,4.0510826,9.34648,2.737838
10047,7.5941463,3.740674,8.222483,4.0976653
10048,5.98327,3.3296945,8.210356,4.631813
