id,hhb,hbo2,ca,na
10000,6.094949,3.1240475,6.10686,2.5498245
10001,4.846022,2.7658288,6.557178,1.9882782
10002,6.3655696,3.1111128,7.037746,2.3773434
10003,5.9235487,3.1483765,6.476448,2.7030413
10004,5.9576306,2.6029773,6.9895577,2.642918
10005,5.5536695,3.1161308,6.037047,2.3009496
10006,6.1983657,2.563662,6.9866247,2.0699663
10007,6.650752,3.1433396,7.5459857,2.4007494
10008,5.2446632,3.0339317,6.4962335,2.2762694
10009,6.165266,2.9579723,6.5820847,2.2090297
10010,6.698013,2.955188,6.948417,3.4694633
10011,5.747362,2.5885472,4.9658637,2.8258085
10012,6.385916,2.8839946,6.546159,2.093684
10013,5.302617,2.9592903,6.7276635,2.078054
10014,6.47668,2.95196,6.1547227,2.291078
10015,4.924098,2.977939,6.482877,2.3383474
10016,6.2039604,3.0566177,6.3199186,2.5619798
10017,6.185378,2.8784013,5.979619,2.4098125
10018,6.342783,3.1165316,6.2611146,2.0910254
10019,6.342374,2.7727506,6.055191,2.183662
10020,6.3405876,2.9501824,6.0498695,2.3702319
10021,6.8095493,3.1095598,6.5163803,2.2808018
10022,6.253801,3.097253,5.898968,2.207407
10023,5.5629344,3.1428177,6.6057744,2.1552706
10024,5.593054,3.1131227,6.571049,2.4304538
10025,6.196028,3.0672646,5.9796033,2.4435968
10026,6.3302617,2.704353,5.8320737,2.3422842
10027,8.415625,3.3209264,7.834836,2.6307352
10028,3.4853086,3.085833,5.840532,2.4691417
10029,5.759025,2.8682127,5.942478,2.3783379
10030,3.65949,2.7324631,6.9514356,2.271758
10031,5.260813,3.033082,5.972729,2.4048524
10032,6.2565556,3.0391877,6.002252,2.4254894
10033,6.591915,2.9459648,6.048186,2.2175214
10034,6.7616534,3.0678413,4.758574,2.3307486
10035,5.018348,2.6036918,6.309444,2.0585558
10036,6.0317297,2.9124658,6.2149305,2.9715142
10037,5.6182075,2.887539,6.341842,2.0736768
10038,6.505073,2.995942,6.044475,2.518226
10039,5.4628067,2.7082093,6.1564145,2.4776604
10040,4.9137673,2.965258,7.0791216,2.4697318
