id,hhb,hbo2,ca,na
10000,9.807985,4.990891,9.391627,3.556058
10001,7.9706287,4.6136436,6.888345,2.9193292
10002,6.909523,2.9907007,10.016658,2.0236127
10003,8.19146,3.8292224,9.099985,2.0585675
10004,7.1635833,4.167162,8.306437,3.0642133
10005,17.058287,5.7046647,5.9295564,4.025595
10006,1.2504948,2.9656694,7.69328,3.0059748
10007,10.101846,3.819711,8.714706,2.627811
10008,2.0075495,4.914976,11.44647,1.8337594
10009,8.19146,3.8292224,9.099985,2.0585675
10010,8.60105,3.4680424,8.72083,3.2090015
10011,15.377792,5.283189,8.052145,3.1838923
10012,5.2440963,3.4010768,8.570955,3.726814
10013,4.810153,3.8788128,4.4000463,1.5729452
10014,4.397829,3.34517,10.378055,4.2421227
10015,3.7884648,3.6759849,6.079011,3.660691
10016,1.2504948,2.9656694,7.69328,3.0059748
10017,10.427424,3.9350233,11.21883,2.5964198
10018,8.19146,3.8292224,9.099985,2.0585675
10019,4.8114147,3.7346187,9.556075,3.186235
10020,8.02348,3.7317276,6.806271,1.5520651
10021,5.91175,4.7362576,4.765093,1.9928823
10022,5.5831475,2.950024,10.0486555,4.197853
10023,8.19146,3.8292224,9.099985,2.0585675
10024,8.19146,3.8292224,9.099985,2.0585675
10025,8.071836,4.183792,10.3133955,2.4617167
10026,8.19146,3.8292224,9.099985,2.0585675
10027,8.19146,3.8292224,9.099985,2.0585675
10028,3.7884648,3.6759849,6.079011,3.660691
10029,8.621576,4.5081553,9.498755,2.6729536
10030,4.425867,3.8552613,9.003008,3.31124
10031,2.0075495,4.914976,11.44647,1.8337594
10032,7.944288,4.453903,9.93371,4.0223475
10033,3.7884648,3.6759849,6.079011,3.660691
10034,15.435648,5.7169614,8.326153,3.8801277
10035,5.151856,3.0941617,10.36119,4.004446
10036,8.19146,3.8292224,9.099985,2.0585675
10037,8.552797,3.7806857,9.029036,2.811646
10038,8.19146,3.8292224,9.099985,2.0585675
10039,8.19146,3.8292224,9.099985,2.0585675
10040,7.972639,3.966672,9.942498,3.5271442
10041,5.151856,2.8516605,9.89728,3.9006083
10042,2.0075495,4.914976,11.44647,1.8337594
10043,8.19146,3.8292224,9.099985,2.0585675
10044,8.19146,3.8292224,9.099985,2.0585675
