id,hhb,hbo2,ca,na
10000,8.197821,4.179101,8.917325,3.0724642
10001,8.073387,3.8697698,8.713199,4.0810213
10002,7.253044,4.2852817,8.712832,2.9560444
10003,5.7372723,3.809496,9.457194,3.4874587
10004,9.044077,3.8960462,8.592301,3.5503874
10005,7.5323806,4.1067104,8.910056,2.179832
10006,6.819463,4.0854845,8.966157,3.5646985
10007,8.198364,3.6775427,9.005608,2.6612701
10008,7.447416,4.0742583,8.653934,3.671328
10009,10.656579,3.791794,8.833613,2.8194048
10010,9.087906,3.9901721,8.807771,2.589088
10011,6.7823534,4.0268106,7.7257495,3.22622
10012,8.970698,3.7158408,9.0599375,3.526136
10013,7.608804,3.6009305,9.096092,3.6218154
10014,7.94435,3.7529786,10.149861,2.995019
10015,7.710887,3.8458526,8.488026,3.333676
10016,6.7194986,4.171948,9.441473,3.2092793
10017,8.058344,4.110259,9.11401,3.4113276
10018,6.6425176,4.530065,9.207145,3.1747553
10019,8.341431,3.8139737,8.981939,3.1108594
10020,8.18937,4.4139624,8.646322,3.1772346
10021,7.3018746,3.8999271,9.515538,3.725925
10022,8.293417,3.626827,8.922399,3.3838048
10023,8.424021,3.910985,10.304991,3.0814445
10024,7.290908,4.001375,8.478521,2.2885182
10025,8.642719,4.165453,8.899061,2.56418
10026,6.836074,3.9469116,10.436958,2.9886513
10027,8.558777,3.9984357,9.274585,2.4440627
10028,8.070267,4.9547596,9.800741,3.2990716
10029,7.6015987,4.039303,10.691869,2.5150163
10030,8.109333,3.9554272,8.674839,2.7811193
10031,7.648055,3.0713348,9.292301,3.3433652
10032,7.7804627,3.8261032,8.839997,3.2440343
10033,7.921968,3.8871071,8.502401,3.0981317
10034,8.283545,3.867827,8.98842,2.5640838
10035,7.8973823,4.2385707,10.199193,2.917165
10036,8.569896,4.1095095,10.397069,2.5512705
10037,7.867344,4.142887,8.969674,3.5384681
10038,7.736403,4.314496,8.699818,3.8390458
10039,8.552797,3.6828055,8.802785,2.811646
10040,7.463463,4.174364,9.096624,2.586087
10041,8.099402,4.6850867,9.154612,4.3213778
10042,8.819593,4.025213,9.285432,3.1266613
10043,7.5880322,3.7851546,9.0351095,2.869862
10044,6.4809046,4.134284,9.438093,3.9409854
10045,8.345873,3.8002913,8.897078,3.1026607
10046,8.605251,3.8026211,9.387065,3.181424
10047,7.8448067,3.9972827,9.08519,3.0526438
10048,7.962209,3.8044198,8.947911,3.1463006
10049,8.666173,4.1597643,9.58183,3.2769008
10050,7.7850966,4.1266785,9.325293,3.049076
10051,8.367009,4.006464,9.104602,3.5859058
10052,7.4326286,3.9743278,8.781903,3.9530811
10053,7.4803877,4.215556,9.099391,3.0891228
10054,7.2633576,4.173027,7.9716854,3.0899
10055,7.545802,3.852272,9.135246,3.6700802
10056,7.229561,4.251729,9.290343,2.9362428
10057,8.127888,3.626281,9.06551,3.131238
10058,8.103672,3.4327738,8.525686,3.1512733
10059,8.161932,3.8977327,10.072028,3.4092214
10060,8.316261,4.0664682,8.774312,2.9689808
10061,8.712267,4.0269384,8.552553,2.839945
10062,8.209585,4.1237125,9.707193,3.37572
10063,7.8000607,4.093936,7.8165236,2.0658174
10064,8.432112,4.1828966,8.378902,2.5627484
10065,7.8354235,4.068925,9.575624,2.7815497
10066,8.19146,3.8067868,9.099985,2.9948776
10067,7.603279,3.9414463,9.261154,2.4589248
10068,8.114288,4.7380915,7.573721,3.112753
10069,7.856689,3.5400429,9.505585,3.22622
10070,7.927529,4.182914,9.346898,2.8978188
10071,7.4999676,3.9603133,9.417313,3.0961204
10072,7.1827173,4.0238867,8.435646,2.15595
10073,7.5554934,4.1260376,8.769719,3.4726186
10074,8.261887,3.8752286,9.739305,3.6956182
10075,8.773784,4.2497783,8.1551,2.7769597
10076,8.050099,3.8417554,8.980579,2.3741593
10077,7.922548,4.159586,9.558308,3.5585592
10078,6.749249,3.492966,8.589699,3.019327
10079,8.423059,3.8202717,8.89712,2.9420738
10080,8.01068,3.978955,9.908168,3.1843235
10081,6.819463,4.0945473,8.990717,2.6878028
10082,8.290752,3.9249892,8.686982,3.223759
10083,7.4550266,3.5879807,9.112894,2.7420037
10084,7.6652145,4.3435454,8.917287,2.4193697
10085,7.7474136,3.9650886,9.5125065,2.6027608
10086,8.419843,3.4369893,10.24352,4.0447574
10087,7.741753,4.020688,8.962515,3.285984
10088,8.18937,3.383929,7.819811,3.047012
10089,7.5362663,3.95414,9.313044,3.4733696
10090,8.28134,3.8020678,9.9486265,4.384082
10091,7.7419715,3.6739228,9.504809,2.83883
10092,7.97231,4.1919084,10.058287,3.2678468
10093,10.563353,3.9805198,9.046867,2.6360989
10094,8.3413105,3.8606112,8.17316,2.543493
10095,7.943421,4.025658,9.640462,2.4171085
10096,8.265609,4.0298686,9.387759,4.1022415
10097,7.658891,4.327948,9.762146,3.4625654
10098,7.9809103,3.8453422,8.754387,2.9027226
10099,8.183523,3.951207,9.545547,3.8775954
10100,6.4427905,3.9717593,8.9621105,3.5314364
10101,7.8738317,4.208173,9.993404,3.6967158
10102,7.1235485,3.9135473,8.157143,3.1424627
10103,8.346233,3.9115975,8.792624,3.239045
10104,8.939212,4.382359,8.935277,3.105206
10105,7.782977,4.3850937,9.173953,3.163966
10106,8.051593,3.782946,8.149473,2.2348733
10107,8.386175,3.6822362,9.535537,3.2800848
10108,7.7511673,4.274349,9.229645,3.2059386
10109,8.7086,3.4450731,9.6528015,3.4361498
10110,8.643821,3.9985354,7.7940016,2.9850023
10111,8.913228,3.4588761,8.615202,2.2616124
10112,8.19072,4.0054073,8.382898,3.581719
