일자,6시,7시,8시,9시
20190401,992,1632,1814,1709
20190402,883,1592,1683,1754
20190403,828,1604,1686,1660
20190404,902,1652,1737,1678
20190405,849,1579,1696,1697
20190408,956,1685,1753,1750
20190409,877,1652,1747,1708
20190410,850,1586,1706,1726
20190411,845,1637,1764,1709
20190412,794,1612,1690,1673
20190415,949,1707,1720,1718
20190416,860,1636,1777,1743
20190417,854,1567,1693,1700
20190418,917,1624,1759,1682
20190419,880,1627,1724,1749
20190422,956,1728,1849,1778
20190423,887,1599,1780,1703
20190424,868,1568,1677,1638
20190425,856,1633,1764,1682
20190426,865,1618,1807,1648
20190429,956,1694,1834,1726
20190430,839,1632,1757,1752
20190501,771,1685,1612,1291
20190502,915,1635,1792,1734
20190503,882,1558,1737,1633
20190506,745,1688,1773,1695
20190507,931,1668,1792,1763
20190508,878,1607,1723,1729
20190509,900,1650,1766,1667
20190510,901,1654,1784,1680
20190513,972,1694,1834,1717
20190514,863,1607,1746,1675
20190515,893,1599,1729,1669
20190516,886,1634,1810,1703
20190517,881,1631,1693,1668
20190520,969,1728,1824,1764
20190521,872,1699,1754,1699
20190522,888,1591,1772,1684
20190523,868,1612,1759,1652
20190524,882,1612,1745,1645
20190527,951,1605,1686,1655
20190528,881,1646,1763,1673
20190529,914,1635,1724,1741
20190530,877,1631,1747,1740
20190531,842,1604,1704,1780
20190603,996,1714,1838,1647
20190604,884,1626,1785,1678
20190605,866,1657,1734,1693
20190607,794,1417,1663,1591
20190610,1015,1660,1760,1580
20190611,875,1610,1787,1688
20190612,845,1573,1753,1646
20190613,868,1566,1763,1749
20190614,880,1560,1739,1590
20190617,940,1708,1852,1666
20190618,821,1609,1725,1699
20190619,900,1604,1728,1657
20190620,852,1579,1799,1694
20190621,887,1562,1730,1716
20190624,1011,1686,1840,1704
20190625,867,1606,1764,1687
20190626,906,1597,1764,1639
20190627,878,1608,1757,1617
20190628,897,1608,1705,1703
20190701,993,1662,1795,1763
20190702,896,1690,1717,1595
20190703,879,1613,1803,1717
20190704,934,1627,1747,1622
20190705,935,1596,1751,1701
20190708,970,1597,1859,1732
20190709,876,1653,1730,1729
20190710,886,1590,1752,1617
20190711,898,1520,1670,1650
20190712,889,1580,1722,1740
20190715,978,1709,1794,1442
20190716,916,1664,1732,1673
20190717,878,1582,1722,1653
20190718,840,1591,1743,1613
20190719,845,1571,1729,1674
20190722,943,1683,1781,1709
20190723,802,1549,1753,1593
20190724,855,1515,1695,1650
20190725,867,1609,1728,1534
20190726,879,1490,1603,1666
20190729,915,1610,1590,1587
20190730,853,1599,1718,1685
20190731,830,1501,1478,1466
20190801,848,1527,1726,1580
20190802,804,1513,1739,1527
20190805,949,1586,1826,1691
20190806,807,1574,1803,1664
20190807,775,1507,1660,1369
20190808,811,1575,1762,1674
20190809,851,1505,1759,1642
20190812,926,1561,1704,1612
20190813,902,1582,1758,1706
20190814,863,1600,1744,1684
20190816,804,1484,1699,1658
20190819,973,1587,1802,1704
20190820,875,1477,1787,1558
20190821,842,1615,1745,1733
20190822,854,1605,1762,1702
20190823,847,1587,1747,1625
20190826,963,1654,1797,1682
20190827,895,1628,1691,1661
20190828,880,1611,1723,1709
20190829,870,1682,1772,1708
20190830,827,1585,1767,1659
20190902,956,1674,1819,1766
20190903,910,1674,1666,1707
20190904,906,1655,1659,1625
20190905,891,1561,1677,1640
20190906,935,1614,1764,1587
20190909,981,1663,1765,1673
20190910,870,1583,1669,1654
20190911,855,1555,1691,1664
20190916,981,1669,1808,1701
20190917,886,1666,1735,1670
20190918,856,1612,1727,1727
20190919,858,1599,1733,1687
20190920,926,1662,1754,1685
20190923,995,1668,1812,1660
20190924,908,1650,1743,1715
20190925,904,1645,1683,1661
20190926,913,1627,1791,1658
20190927,925,1611,1792,1698
20190930,950,1659,1826,1773
20191001,910,1650,1741,1705
20191002,961,1617,1715,1690
20191004,812,1578,1710,1618
20191007,1013,1658,1737,1678
20191008,872,1648,1702,1684
20191010,954,1681,1783,1643
20191011,868,1647,1792,1658
20191014,950,1628,1808,1705
20191015,947,1678,1711,1684
20191016,957,1590,1817,1754
20191017,958,1655,1793,1718
20191018,951,1583,1788,1714
20191021,1024,1730,1814,1687
20191022,957,1593,1789,1635
20191023,945,1602,1762,1680
20191024,1015,1672,1795,1676
20191025,937,1618,1761,1655
20191028,1041,1661,1820,1735
20191029,970,1617,1745,1684
20191030,933,1634,1771,1723
20191031,928,1613,1792,1669
20191101,959,1594,1707,1599
20191104,1124,1685,1820,1705
20191105,966,1639,1749,1596
20191106,987,1612,1772,1592
20191107,976,1651,1697,1637
20191108,967,1634,1731,1691
20191111,1023,1484,1605,1723
20191112,1000,1612,1746,1587
20191113,977,1669,1771,1671
20191114,1023,1649,1761,1606
20191115,985,1357,1667,1630
20191118,1099,1723,1801,1687
20191119,933,1599,1766,1692
20191120,906,1531,1712,1665
20191121,964,1506,1726,1454
20191122,931,1541,1768,1405
20191125,1072,1595,1769,1647
20191126,1023,1615,1784,1630
20191127,911,1543,1742,1672
20191128,981,1591,1683,1674
20191129,985,1547,1699,1720
20191202,1120,1641,1842,1654
20191203,960,1646,1758,1718
20191204,886,1522,1753,1682
20191205,958,1649,1518,1659
20191206,921,1572,1728,1632
20191209,1106,1762,1794,1710
20191210,921,1642,1732,1657
20191211,908,1775,1899,1634
20191212,982,1633,1756,1584
20191213,972,1653,1729,1656
20191216,1042,1693,1735,1670
20191217,893,1578,1642,1647
20191218,923,1661,1727,1645
20191219,992,1672,1696,1631
20191220,945,1599,1689,1670
20191223,974,1730,1779,1628
20191224,895,1545,1702,1654
20191226,961,1656,1726,1402
20191227,896,1517,1733,1671
20191230,922,1666,1755,1550
20191231,871,1407,1733,1573
20200102,993,1699,1811,1754
20200103,960,1634,1755,1574
20200106,1063,1832,1836,1619
20200107,901,1515,1562,1572
20200108,920,1693,1769,1609
20200109,952,1640,1747,1572
20200110,938,1629,1743,1626
20200113,1039,1742,1777,1678
20200114,923,1703,1695,1684
20200115,899,1652,1790,1661
20200116,939,1706,1734,1675
20200117,961,1661,1772,1684
20200120,1012,1725,1783,1613
20200121,908,1706,1741,1618
20200122,942,1680,1757,1573
20200123,935,1576,1753,1644
20200128,952,1725,1765,1686
20200129,913,1634,1788,1691
20200130,933,1695,1726,1590
20200131,922,1665,1755,1561
20200203,1006,1756,1788,1678
20200204,913,1671,1737,1692
20200205,817,1571,1757,1738
20200206,949,1534,1816,1722
20200207,867,1565,1779,1708
20200210,1058,1660,1798,1701
20200211,879,1621,1765,1494
20200212,933,1653,1767,1674
20200213,877,1672,1777,1651
20200214,920,1579,1748,1698
20200217,958,1566,1662,1629
20200218,867,1548,1737,1725
20200219,825,1610,1737,1635
20200220,857,1539,1803,1639
20200221,845,1610,1798,1609
20200224,937,1631,1789,1460
20200225,863,1496,1641,1668
20200226,919,1465,1733,1671
20200227,863,1533,1808,1699
20200228,812,1536,1753,1653
20200302,852,1461,1759,1665
20200303,852,1461,1759,1665
20200304,814,1497,1741,1582
20200305,820,1491,1737,1653
20200306,769,1523,1713,1632
20200309,896,1618,1817,1664
20200310,778,1496,1659,1583
20200311,798,1526,1715,1626
20200312,841,1488,1811,1664
20200313,792,1507,1775,1672
20200316,886,1617,1848,1687
20200317,899,1543,1715,1701
20200318,840,1511,1782,1677
20200319,836,1505,1830,1636
20200320,851,1505,1741,1637
20200323,928,1609,1833,1709
20200324,818,1585,1772,1676
20200325,750,1528,1685,1665
20200326,713,1555,1796,1687
20200327,819,1562,1750,1658
20200330,838,1653,1859,1625
20200331,720,1591,1768,1663
20200401,751,1531,1765,1668
20200402,788,1489,1757,1680
20200403,769,1582,1772,1673
20200406,880,1655,1786,1749
20200407,807,1607,1799,1635
20200408,768,1532,1803,1690
20200409,778,1545,1764,1684
20200410,752,1542,1780,1620
20200413,860,1620,1800,1691
20200414,792,1550,1744,1663
20200416,785,1544,1777,1621
20200417,825,1472,1663,1586
20200420,851,1668,1818,1678
20200421,812,1651,1756,1663
20200422,777,1559,1762,1659
20200423,772,1573,1770,1632
20200424,756,1529,1730,1695
20200427,895,1674,1774,1744
20200428,855,1593,1736,1640
20200429,795,1550,1746,1690
