일자,06시,07시,08시,09시
20190401,28.48,26.32,25.75,26.51
20190402,27.34,24.48,23.4,23.73
20190403,25.24,24.05,24.28,22.39
20190404,31.06,25.82,23.33,24.16
20190405,27.5,27.19,24.75,23.63
20190408,31.12,26.94,25.96,25.67
20190409,28.8,25.74,24.62,23.93
20190410,25.79,25.3,25.52,24.34
20190411,26.07,24.92,24.74,23.25
20190412,27.86,25.41,25.48,24.72
20190415,32.97,27.19,27.26,24.96
20190416,26.07,23.61,23.79,24.49
20190417,28.19,25.99,23.68,24.9
20190418,26.88,25.15,25.42,24.38
20190419,25.78,25.6,23.95,22.81
20190422,26.4,23.54,24.9,26.37
20190423,25.14,25.39,26.02,23.24
20190424,27.19,25.07,24.38,24.65
20190425,26.35,25.03,25.21,23.79
20190426,25.14,23,23.61,24.24
20190429,30.47,25.06,26.45,24.56
20190430,25.27,24.93,23.48,25.82
20190501,25.94,26.91,27.53,29.18
20190502,27.69,23.93,24.5,24.02
20190503,26.95,25.1,27.15,24.96
20190506,28.5,28.2,30.32,27.88
20190507,28.5,24.96,22.94,23.91
20190508,27.11,26.13,25.34,23.31
20190509,28.76,29,25.56,22.28
20190510,28.24,26.83,24.87,24.07
20190513,29.58,29.77,25.02,25.89
20190514,28,24.23,23.07,24.29
20190515,29.69,26.5,23.39,23.74
20190516,29.07,26.49,26.04,25.42
20190517,26.82,25.79,25.09,25.2
20190520,32.26,25.4,27.2,26.31
20190521,26.85,25.79,24.38,24.11
20190522,28.14,25.59,25.22,24.47
20190523,27.95,24.63,23.51,24.1
20190524,28.15,27,26.14,26.25
20190527,30.29,29.88,27.25,24.29
20190528,27.64,25.68,24.53,25.49
20190529,28.14,25.04,25.49,25.15
20190530,28.69,24.68,22.72,23.4
20190531,27.95,28.25,25.74,25.37
20190603,28.69,28.72,26,26.01
20190604,27.63,25.99,23.41,23.93
20190605,27.61,25.97,25.54,24.08
20190607,25.79,23.76,22.5,23
20190610,30.63,27.39,22.63,22.53
20190611,26.28,25.08,23.32,22.41
20190612,26.52,24.89,21.94,24.5
20190613,27.34,25.82,22.49,23.36
20190614,26.49,26.06,25.04,23
