일자,06시,07시,08시,09시
20200429,4274,4322,3943,3960
20200428,4429,4166,3752,4201
20200427,4995,3573,3497,3626
20200424,4168,3641,4454,3548
20200423,4122,4232,4105,3692
20200422,4249,4285,3970,3797
20200421,4367,3897,4233,3914
20200420,4929,3721,4116,3598
20200417,3713,4121,3725,3051
20200416,4359,4231,3953,3634
20200414,4175,4394,4091,3849
20200413,4483,3263,3889,3673
20200410,3927,4437,3793,3880
20200409,4010,4289,4052,3754
20200408,4066,4118,3985,3643
20200407,4146,4216,3977,3625
20200406,4850,3607,3928,3574
20200403,3954,4567,4027,3797
20200402,3954,4567,4027,3797
20200401,3937,4436,4232,3905
20200331,4013,4368,3907,3446
20200330,4741,3765,3927,3431
20200327,3656,4623,4197,3749
20200326,3929,4382,3961,3665
20200325,3895,4176,3951,3671
20200324,3961,4351,3880,3452
20200323,4789,3831,3982,3536
20200320,3703,4540,3977,3718
20200319,3748,4414,4001,3640
20200318,3854,4303,3998,3725
20200317,3886,4391,4112,3698
20200316,4742,3848,4037,3563
20200313,3770,4521,3816,3623
20200312,3770,4521,3816,3623
20200311,3770,4521,3816,3623
20200310,3583,4101,3705,3550
20200309,4673,2501,3476,3563
20200306,3481,4772,3896,3810
20200305,3569,4482,3837,3848
20200304,3635,4381,4172,3708
20200303,3635,4381,4172,3708
20200302,4595,3409,3736,3202
20200228,2886,3668,2987,2874
20200227,3736,4505,4017,3330
20200226,3736,4505,4017,3330
20200225,3578,4047,3542,3596
20200224,4695,3597,3797,3782
20200221,3497,4657,4100,3944
20200220,3523,4467,3908,3834
20200219,3523,4467,3908,3834
20200218,3686,4364,3819,3785
20200217,3670,2541,2827,3007
20200214,3429,4713,3969,3509
20200213,3540,4533,4287,3995
20200212,3564,4224,3865,3424
20200211,3779,4438,3977,3871
20200210,4578,3738,3957,3544
20200207,3530,4597,3862,3955
20200206,3573,4514,3869,3745
20200205,3475,4330,4085,3952
20200204,3715,4388,3999,3835
20200203,3715,4388,3999,3835
20200131,3517,4525,3912,4107
20200130,3654,4587,3896,3922
20200129,3776,4432,3950,3961
20200128,4083,4309,3736,3723
20200123,2951,4631,3861,3975
20200122,3614,4424,4080,4205
20200121,3755,4438,3756,3791
20200120,4774,3752,3893,3835
20200117,3577,4383,3944,4136
20200116,3577,4383,3944,4136
20200115,3698,4442,3955,3671
20200114,3757,3972,3996,3790
20200113,4575,2675,3234,3023
20200110,3406,4700,4016,3978
20200109,3509,4722,4159,4029
20200108,3461,4185,3898,3950
20200107,3534,3867,3558,3684
20200106,3534,3867,3558,3684
20200103,3334,4679,4051,3904
20200102,4280,4031,3791,3731
20191231,2745,4240,4015,3862
20191230,4049,3901,3685,3938
20191227,3061,4454,4255,4232
20191226,3736,4345,3508,3414
20191224,3575,4514,3906,3969
20191223,4521,3714,3820,3849
20191220,3484,3838,3655,4003
20191219,3563,4453,4044,3952
20191218,3697,4099,3632,3154
20191217,3697,4099,3632,3154
20191216,3706,3737,4085,3689
20191213,3559,4752,3925,3890
20191212,3667,4378,3964,3941
20191211,3630,4299,3883,3686
20191210,3798,4154,3911,3722
20191209,4662,3484,3749,3335
20191206,3543,4410,3858,3181
20191205,3679,4491,3937,3802
20191204,2822,4246,3943,3763
20191203,3989,4310,4004,3790
20191202,4642,3634,3927,3661
20191129,3650,4496,4010,3864
20191128,3816,4480,3945,3879
20191127,3877,4404,3825,3990
20191126,3972,4306,4074,4086
20191125,3702,4464,4076,4051
20191122,3702,4464,4076,4051
20191121,3858,4476,4109,3939
20191120,3876,4248,3903,3670
20191119,4064,4338,3919,3778
20191118,4633,3658,3917,3542
20191115,3628,4124,3780,3634
20191114,3617,4629,4065,3491
20191113,3894,4514,4034,3846
20191112,3991,4268,4248,3730
20191111,4634,3676,3854,3855
20191108,3764,4624,4009,3879
20191107,3924,4539,3968,3739
20191106,3941,4544,4131,3983
20191105,4010,4409,4029,3932
20191104,4609,3683,4015,3669
20191101,3788,4713,4077,3750
20191031,3994,4344,4013,3918
20191030,3994,4344,4013,1962
20191029,4064,4519,3527,3551
20191028,4717,3683,3913,3794
20191025,3783,4660,3945,4040
20191024,3958,4448,4043,4133
20191023,4069,4434,4030,3946
20191022,4034,4624,4052,3349
20191021,4682,3711,3883,3894
20191018,3818,4720,4030,3956
20191017,3910,4451,4029,3986
20191016,4031,4391,3971,3778
20191015,4824,3696,3867,3748
20191014,3885,4615,3914,3985
20191011,4337,4350,3937,3824
20191010,4052,4661,3897,3940
20191008,4520,3363,3567,3613
20191007,3583,4349,4188,4343
20191004,3583,4349,4188,4343
20191002,3583,4349,4188,4343
20191001,3993,3915,4150,3827
20190930,4423,4331,4004,4098
20190927,3955,4394,4028,3990
20190926,3951,4374,3967,4126
20190925,4136,4516,4028,3932
20190924,4166,4286,3946,4002
20190923,4749,3362,3962,3613
20190920,3916,4468,3996,3941
20190919,4177,4386,3958,3869
20190918,4186,4128,3860,3769
20190917,4258,4072,4007,3662
20190916,4705,3673,3911,3757
20190911,3356,4331,4014,3720
20190910,3998,3937,3893,3865
20190909,4402,3394,3700,3667
20190906,3801,4393,3977,3855
20190905,3841,4011,3941,3780
20190904,3763,4029,3844,3668
20190903,4175,4385,4062,3979
20190902,4962,3347,3790,3870
20190830,3857,4597,3975,3890
20190829,3931,4437,4080,3934
20190828,3965,4396,4146,3988
20190827,3959,4106,4114,3752
20190826,4559,3788,3975,3863
20190823,3855,4633,3932,3979
20190822,3884,4375,4099,3918
20190821,3960,4617,3872,3821
20190820,4076,4436,4008,3945
20190819,4907,3654,3809,3675
20190816,3301,4274,4260,4212
20190814,3838,4452,3987,4012
20190813,3885,4595,3895,4143
20190812,4198,3273,3553,3808
20190809,4198,3273,3553,3808
20190808,4198,3273,3553,3808
20190807,4532,3890,3986,4428
20190806,4532,3890,3986,4428
20190805,4532,3890,3986,4428
20190802,3317,4762,4065,4182
20190801,3566,4605,4046,3950
20190731,3526,4659,3986,3640
20190730,3826,4569,4051,4254
20190729,4741,3717,3817,3940
20190726,3319,3880,3553,3551
20190725,3663,4242,3693,3972
20190724,3638,4283,3775,3648
20190723,3851,4160,4076,4077
20190722,4823,3751,3975,3801
20190719,3832,4622,4093,3960
20190718,3760,4672,4119,3979
20190717,3837,4747,4096,4127
20190716,3837,4747,4096,4127
20190715,4843,3542,3913,3819
20190712,3738,4739,4193,4245
20190711,3639,4010,3987,3920
20190710,3844,4549,3957,3856
20190709,4031,4255,4095,3860
20190708,3620,4642,4025,4216
20190705,3620,4642,4025,4216
20190704,3661,4277,4302,3965
20190703,3950,4508,4117,4049
20190702,3985,4507,4071,4146
20190701,4833,3335,4134,3857
20190628,3898,4665,4087,4161
20190627,3856,4406,3990,4119
20190626,3911,4667,4062,3879
20190625,4043,4240,4390,3863
20190624,4829,3659,4005,3793
20190621,3911,4544,4067,4047
20190620,3911,4544,4067,4047
20190619,3760,4377,4189,4090
20190618,3760,2057,2737,2547
20190617,4879,3621,3873,3545
20190614,3871,4657,4256,4182
20190613,1847,2958,3968,4006
20190612,4036,4521,4008,4083
20190611,4061,4626,4079,3907
20190610,4731,3463,3606,3690
20190607,3192,4177,3919,4132
20190605,3872,4545,4110,4126
20190604,4127,4380,4136,4243
20190603,4922,3516,4277,3779
20190531,3829,4613,4422,3984
20190530,3926,4401,4068,4075
20190529,4236,4630,4175,3983
20190528,3985,4541,3961,4003
20190527,4522,3392,3284,4338
20190524,3956,4893,3830,4686
20190523,3956,4893,3830,4686
20190522,4069,4546,3876,3943
20190521,4069,4546,3876,3943
20190520,4757,3702,3995,3708
20190517,3771,4751,4287,4068
20190516,3945,4498,4374,4133
20190515,4014,4672,4205,4176
20190514,4087,4735,4050,4082
20190513,4702,3251,3910,3902
20190510,3930,4766,4221,4155
20190509,4048,4636,4154,3494
20190508,3986,4507,3991,3854
20190507,4698,4233,3969,3919
20190506,1321,1426,1990,3015
20190503,3816,4556,4431,4220
20190502,4160,4723,3908,3876
20190501,1533,2052,2533,3692
20190430,4016,4755,3950,4056
20190429,4827,3734,4004,3750
20190426,3611,3762,4504,4037
20190425,3886,4718,4153,4046
20190424,3760,4498,4027,4000
20190423,4081,4548,4086,4071
20190422,4778,3992,4099,3749
20190419,3666,4959,4247,4146
20190418,3741,4848,4193,4200
20190417,3850,4700,4087,4145
20190416,3944,4543,4054,4083
20190415,4813,3750,4036,3795
20190412,3501,4827,4264,3893
20190411,3697,4586,4132,4079
20190410,3650,4669,3775,4353
20190409,3833,4455,4188,3973
20190408,4811,3852,4017,3657
20190405,3398,4918,4304,4166
20190404,3676,4836,4136,3837
20190403,3732,4757,4041,3940
20190402,3871,4557,4117,3798
20190401,4721,3945,4077,3746
