일자,06시,07시,08시,09시
20190401,90,24,27,33
20190402,93,37,28,31
20190403,95,40,27,30
20190404,94,45,27,31
20190405,94,60,32,38
20190408,79,26,25,31
20190409,95,38,27,34
20190410,91,43,26,37
20190411,95,40,29,35
20190412,96,48,32,46
20190415,84,25,26,36
20190416,95,41,26,28
20190417,95,46,27,32
20190418,95,44,29,38
20190419,94,50,30,37
20190422,76,29,26,29
20190423,93,38,26,30
20190424,91,38,26,28
20190425,93,45,28,29
20190426,92,34,35,29
20190429,79,24,26,33
20190430,93,44,26,29
20190501,98,98,98,93
20190502,92,40,26,26
20190503,94,44,31,40
20190506,98,98,98,95
20190507,85,34,26,28
20190508,93,35,25,26
20190509,94,41,29,28
20190510,93,47,29,35
20190513,82,23,24,34
20190514,93,42,26,32
20190515,94,44,29,37
20190516,93,38,31,36
20190517,95,48,30,35
20190520,74,24,26,46
20190521,93,40,29,35
20190522,94,46,30,40
20190523,94,59,38,56
20190524,94,51,36,60
20190527,74,22,19,37
20190528,94,38,26,28
20190529,93,40,30,51
20190530,95,36,26,34
20190531,95,43,30,41
20190603,75,24,27,34
20190604,92,46,37,40
20190605,94,41,27,33
20190607,87,69,54,77
20190610,72,21,20,26
20190611,93,41,27,30
20190612,93,39,27,35
20190613,18,10,26,27
20190614,93,45,32,40
20190617,71,23,25,39
20190618,79,44,34,29
20190619,90,35,29,31
20190620,94,41,27,32
20190621,94,43,31,33
20190624,65,23,25,33
20190625,93,37,32,32
20190626,94,49,27,30
20190627,93,38,26,36
20190628,94,46,27,38
20190701,76,28,31,32
20190702,94,40,28,36
20190703,94,42,28,31
20190704,96,43,29,31
20190705,96,46,27,35
20190708,69,25,26,28
20190709,93,33,28,27
20190710,94,42,26,27
20190711,91,30,25,27
20190712,95,49,29,33
20190715,69,23,25,30
20190716,91,39,28,31
20190717,94,58,28,33
20190718,95,50,28,30
20190719,94,45,27,32
20190722,80,25,27,43
20190723,92,33,26,33
20190724,88,39,24,25
20190725,83,32,23,29
20190726,79,29,23,25
20190729,72,26,28,71
20190730,93,50,29,54
20190731,93,56,27,27
20190801,90,53,31,54
20190802,97,66,41,76
20190805,79,33,33,69
20190806,95,47,26,34
20190807,86,39,24,26
20190808,95,48,27,45
20190809,96,44,27,36
20190812,62,21,22,27
20190813,90,28,24,24
20190814,93,36,27,27
20190816,95,80,56,84
20190819,73,24,24,42
20190820,92,36,26,27
20190821,94,41,25,28
20190822,94,34,27,27
20190823,94,42,25,29
20190826,68,27,26,29
20190827,84,30,27,25
20190828,93,40,29,29
20190829,91,35,27,30
20190830,93,38,26,27
20190902,73,20,23,25
20190903,90,35,28,27
20190904,84,29,24,25
20190905,86,29,24,27
20190906,89,35,25,27
20190909,63,21,23,24
20190910,84,31,25,26
20190911,85,34,26,41
20190916,65,24,35,88
20190917,90,29,24,24
20190918,91,31,24,26
20190919,91,32,27,26
20190920,92,35,25,27
20190923,65,20,24,28
20190924,91,32,24,26
20190925,93,36,26,27
20190926,92,34,25,29
20190927,93,34,27,30
20190930,22,23,25,27
20191001,87,32,27,35
20191002,89,28,27,26
20191004,93,85,85,84
20191007,64,22,24,24
20191008,90,43,26,32
20191010,87,34,24,27
20191011,92,42,26,35
20191014,62,22,23,30
20191015,90,38,26,23
20191016,90,36,28,25
20191017,91,39,26,29
20191018,92,50,26,33
20191021,64,24,27,29
20191022,90,42,28,24
20191023,90,36,26,29
20191024,91,37,26,31
20191025,93,42,26,30
20191028,60,23,26,32
20191029,87,41,21,21
20191030,92,61,75,26
20191031,89,33,27,28
20191101,92,45,29,27
20191104,80,26,26,32
20191105,89,37,28,28
20191106,90,42,33,29
20191107,91,37,26,28
20191108,93,45,27,34
20191111,60,23,25,27
20191112,89,35,29,28
20191113,91,40,27,27
20191114,91,59,28,26
20191115,88,34,25,24
20191118,59,23,25,27
20191119,90,35,26,26
20191120,91,34,24,27
20191121,91,39,27,28
20191122,93,39,27,36
20191125,67,23,25,28
20191126,90,34,27,30
20191127,92,38,27,30
20191128,92,41,28,30
20191129,93,45,27,30
20191202,63,23,25,26
20191203,92,36,26,27
20191204,81,52,25,25
20191205,89,40,24,26
20191206,92,41,25,19
20191209,69,23,23,17
20191210,83,34,25,25
20191211,91,37,26,20
20191212,92,36,26,29
20191213,92,61,25,45
20191216,52,29,27,29
20191217,83,36,24,17
20191218,89,47,28,34
20191219,93,45,27,30
