일자,6시,7시,8시,9시
20200429,1751,2888,2478,2390
20200428,1758,2897,2344,2327
20200427,2021,2931,2325,2352
20200424,1746,2842,2570,2250
20200423,1657,2860,2384,2349
20200422,1731,2830,2466,2262
20200421,1712,2908,2495,2312
20200420,1926,2861,2327,2233
20200417,1489,2734,2378,2237
20200416,1820,2969,2466,2273
20200414,1760,2876,2495,2269
20200413,1975,2862,2384,2221
20200410,1779,2780,2562,2336
20200409,1664,2923,2581,2216
20200408,1639,2865,2536,2314
20200407,1671,2857,2480,2154
20200406,1857,2903,2387,2113
20200403,1618,2863,2593,2131
20200402,1633,2907,2519,2180
20200401,1617,2896,2571,2192
20200331,1666,2706,2607,2179
20200330,1866,2958,2255,2193
20200327,1528,2902,2678,2267
20200326,1563,2823,2513,2191
20200325,1501,2776,2484,2148
20200324,1593,2813,2538,2294
20200323,1751,2943,2356,2200
20200320,1751,2943,2356,2200
20200319,1751,2943,2356,2200
20200318,1751,2943,2356,2200
20200317,1542,2765,2345,2197
20200316,1766,2795,2075,2158
20200313,1502,2659,2454,2064
20200312,1506,2766,2298,2046
20200311,1523,2741,2579,2152
20200310,1425,2672,2428,2262
20200309,1728,3073,2362,2040
20200306,1493,2637,2385,2073
20200305,1532,2745,2472,2052
20200304,1491,2718,2362,1988
20200303,1523,2809,2314,2024
20200302,1596,2999,2231,2144
20200228,1420,2594,2517,1973
20200227,1476,2824,2421,2020
20200226,1495,2673,2595,2253
20200225,1385,2658,2374,2221
20200224,1713,2982,2333,2321
20200221,1490,2658,2568,2434
20200220,1550,2695,2612,2565
20200219,1473,2587,2569,2166
20200218,1432,2643,2407,2120
20200217,1460,2420,2182,2029
20200214,1540,2627,2512,2295
20200213,1457,2654,2579,2425
20200212,1518,2642,2594,2349
20200211,1608,2681,2680,2222
20200210,1800,2754,2476,2221
20200207,1542,2537,2653,2324
20200206,1429,2685,2599,2171
20200205,1368,2599,2616,2264
20200204,1567,2695,2703,2348
20200203,1812,2843,2276,2064
20200131,1502,2585,2631,2429
20200130,1538,2641,2518,2433
20200129,1595,2630,2485,2378
20200128,1606,2488,2304,2095
20200123,1531,2553,2396,2233
20200122,1535,2589,2678,2491
20200121,1622,2656,2511,2425
20200120,1772,2777,2252,2254
20200117,1562,2489,2545,2369
20200116,1594,2560,2565,2451
20200115,1615,2621,2575,2424
20200114,1600,2584,2445,2453
20200113,1876,2769,2380,2400
20200110,1519,2457,2513,2268
20200109,1599,2535,2456,2458
20200108,1466,2450,2359,2439
20200107,1469,2488,2286,2347
20200106,1825,2646,2187,2258
20200103,1528,2508,2434,2240
20200102,1607,2580,2342,2162
20191231,1291,2199,2000,1832
20191230,1642,2492,1994,1992
20191227,1446,2338,2280,2122
20191226,1556,2511,2464,2474
20191224,1514,2532,2430,2260
20191223,1753,2630,2218,2317
20191220,1476,2512,2531,2415
20191219,1521,2565,2562,2426
20191218,1531,2528,2445,2479
20191217,1446,2513,2357,2462
20191216,1814,2709,2113,2451
20191213,1502,2530,2480,2195
20191212,1406,2664,2410,2384
20191211,1449,2499,2356,2668
20191210,1471,2551,2525,2620
20191209,1727,2680,2092,2402
20191206,1470,2527,2450,2449
20191205,1560,2550,2445,2531
20191204,1561,2486,2305,2261
20191203,1542,2616,2337,2385
20191202,1905,2669,2129,2677
20191129,1578,2656,2475,2423
20191128,1597,2709,2393,2344
20191127,1591,2608,2342,2426
20191126,1628,2689,2364,2410
20191125,1854,2798,2123,2390
20191122,1639,2691,2631,2408
20191121,1587,2633,2654,2305
20191120,1582,2745,2577,2644
20191119,1620,2713,2230,2333
20191118,1861,2902,2042,2216
20191115,1580,2447,2353,2498
20191114,1602,2448,2584,2889
20191113,1667,2666,2312,2469
20191112,1671,2715,2262,2351
20191111,1973,2644,1975,2282
20191108,1564,2607,2724,2453
20191107,1564,2716,2545,2519
20191106,1628,2823,2422,2363
20191105,1660,2851,2496,2473
20191104,1752,2881,2128,2503
20191101,1578,2723,2650,2273
20191031,1191,2176,2257,2262
20191030,1213,2125,2178,2274
20191029,1232,2097,2225,2255
20191028,1403,2233,2216,2262
20191025,1218,2108,2169,2259
20191024,1209,2112,2237,2192
20191023,1237,2130,2269,2267
20191022,1252,2111,2180,2268
20191021,1430,2278,2274,2292
20191018,1184,2155,2264,2191
20191017,1240,2140,2269,2282
20191016,1225,2209,2193,2279
20191015,1271,2113,2247,2240
20191014,1411,2173,2293,2100
20191011,1141,2117,2178,2136
20191010,1261,2160,2280,2238
20191008,1242,2095,2229,2213
20191007,1374,2099,2195,2168
20191004,1105,1972,2108,2106
20191002,1238,2089,2297,2239
20191001,1248,2089,2261,2212
20190930,1248,2089,2261,2212
20190927,1287,2118,2203,2250
20190926,1146,2145,2193,2233
20190925,1234,2113,2199,2234
20190924,1263,2177,2266,2238
20190923,1433,2159,2212,2313
20190920,1176,2112,2214,2264
20190919,1183,2136,2216,2230
20190918,1238,2145,2187,2255
20190917,1243,2093,2179,2309
20190916,1408,2196,2266,2265
20190911,1101,2059,2196,2255
20190910,1195,2005,2191,2251
20190909,1362,2219,2277,2298
20190906,1142,2137,2276,2256
20190905,1179,2087,2208,2228
20190904,1200,2035,2165,2257
20190903,1210,2134,2273,2264
20190902,1469,2191,2229,2339
20190830,1164,2031,2244,2228
20190829,1230,2081,2217,2248
20190828,1172,2119,2223,2212
20190827,1198,2091,2238,2324
20190826,1406,2167,2228,2323
20190823,1168,2093,2200,2225
20190822,1175,2064,2220,2253
20190821,1229,2039,2227,2088
20190820,1186,2157,2190,2242
20190819,1418,2206,2145,2341
20190816,1123,1973,2155,2127
20190814,1157,2078,2188,2246
20190813,1188,2070,2216,2260
20190812,1300,1996,2253,2304
20190809,1105,2040,2220,2258
20190808,1162,2114,2232,2219
20190807,1109,1925,2052,2295
20190806,1194,2044,2229,2242
20190805,1391,2148,2218,2211
20190802,1130,1926,2139,2184
20190801,1115,2015,2211,2132
20190731,1108,1864,2036,2115
20190730,1168,2002,2148,2250
20190729,1418,2034,2239,2221
20190726,1035,1828,2023,2097
20190725,1125,2059,2199,2240
20190724,1129,2006,2220,2262
20190723,1250,2035,2096,2324
20190722,1420,2152,2245,2250
20190719,1607,2518,2368,2316
20190718,1677,2332,2342,2430
20190717,1582,2509,2397,2311
20190716,1644,2524,2448,2386
20190715,1978,2591,2150,2250
20190712,1668,2454,2525,2262
20190711,1601,2451,2225,2332
20190710,1628,2521,2508,2331
20190709,1693,2555,2378,2355
20190708,2050,2624,2183,2222
20190705,1680,2515,2535,2319
20190704,1646,2524,2522,2375
20190703,1736,2543,2345,2304
20190702,1739,2693,2264,2217
20190701,2018,2659,2066,2163
20190628,1667,2483,2493,2316
20190627,1576,2542,2401,2254
20190626,1678,2635,2338,2367
20190625,1767,2539,2337,2316
20190624,2008,2731,2039,2304
20190621,1667,2538,2476,2348
20190620,1662,2608,2366,2408
20190619,1602,2663,2454,2388
20190618,1737,2589,2298,2388
20190617,1961,2697,2100,2341
20190614,1673,2610,2502,2353
20190613,1754,2667,2433,2318
20190612,1685,2573,2525,2417
20190611,1874,2573,2466,2473
20190610,1847,2593,2084,2279
20190607,1465,2245,2131,2010
20190605,1722,2595,2512,2488
20190604,1780,2636,2441,2189
20190603,1968,2589,2042,2225
20190531,1653,2571,2494,2365
20190530,1702,2559,2397,2330
20190529,1996,2445,2370,2299
20190528,1761,2664,2346,2305
20190527,1894,2531,1957,2203
20190524,1666,2529,2554,2248
20190523,1698,2467,2501,2349
20190522,1660,2500,2644,2354
20190521,1750,2506,2281,2338
20190520,1974,2649,2032,2232
20190517,1704,2478,2522,2318
20190516,1683,2669,2418,2294
20190515,1738,2454,2630,2259
20190514,1824,2527,2332,2336
20190513,1962,2653,2082,2155
20190510,1686,2550,2400,2359
20190509,1783,2614,2377,2369
20190508,1805,2694,2334,2307
20190507,1961,2729,2096,2328
20190506,845,881,1046,1249
20190503,1718,2480,2433,2219
20190502,1773,2720,2294,2361
20190501,1160,1535,1350,1662
20190430,1739,2606,2350,2278
20190429,2004,2671,2124,2202
20190426,1556,2573,2317,2267
20190425,1678,2628,2464,2387
20190424,1637,2531,2436,2318
20190423,1725,2542,2151,2369
20190422,1957,2659,2129,2292
20190419,1697,2625,2471,2288
20190418,1750,2569,2536,2461
20190417,1708,2676,2419,2411
20190416,1781,2542,2446,2377
20190415,2095,2669,2129,2365
20190412,1721,2603,2451,2310
20190411,1737,2690,2393,2521
20190410,1722,2633,2221,2236
20190409,1822,2632,2202,2300
20190408,2109,2657,2064,2163
20190405,1665,2650,2377,2467
20190404,1726,2783,2439,2291
20190403,1764,2618,2524,2379
20190402,1838,2696,2371,2346
20190401,2118,2614,2033,2026
