일자,06시,07시,08시,09시
20200429,38.6,39.19,34.98,24.47
20200428,39.75,39.02,30.82,21.15
20200427,40.97,40.17,31.28,21.36
20200424,45.76,43.49,34.82,26.24
20200423,43.39,38.52,35.57,25.97
20200422,42.08,47.29,35.59,24.74
20200421,39.25,36.46,31.87,23.89
20200420,41.4,38.01,29.61,20.78
20200417,39.88,38.6,31.58,22.26
20200416,41.12,43.99,34.23,23.37
20200414,42.76,37.32,31.5,23.53
20200413,44.74,42.66,33.41,22.42
20200410,40.09,36.92,35.36,26.08
20200409,42.12,43.56,35.95,25.45
20200408,37.81,38.35,34.8,24.79
20200407,40.64,42.11,36.13,24.55
20200406,41.99,37.54,30.43,21.69
20200403,39.74,42.03,38.25,26.5
20200402,41.08,42.68,35.98,26.71
20200401,40.95,44.96,35.24,25.1
20200331,38.53,44.12,36.43,28.04
20200330,39.15,35.24,29.15,21.26
20200327,37.57,37.47,33.32,26.82
20200326,42.76,42.09,34.24,28.39
20200325,39.63,41.08,39.6,26.31
20200324,39.5,38.85,32.77,25.68
20200323,40.41,37.63,32.03,20.48
20200320,43.26,38.21,34.5,28.94
20200319,40.46,39.08,34.96,28.3
20200318,39.75,38.33,34.79,27
20200317,37.91,38.19,33.37,26.83
20200316,39.6,43.04,27.13,21.91
20200313,40.75,40.5,38.56,30.88
20200312,43.59,41.49,42.02,28.48
20200311,41.77,40.85,35.4,28.04
20200310,41.19,36.39,31.74,23.22
20200309,40.9,40.69,34.43,25.23
20200306,42.81,42.43,38.67,28.17
20200305,41,36.07,32.42,29.25
20200304,40.89,37.89,34.04,28.43
20200303,42.72,41.09,35.41,26.38
20200302,40.85,40.09,35.8,27.6
20200228,39.32,38.9,36,29.95
20200227,39.15,36.4,34.15,26.54
20200226,43.39,41.16,33.55,27.42
20200225,37.63,36.95,33.26,22.44
20200224,40.36,38.55,32.1,22.22
20200221,42.43,38.22,35.16,27.44
20200220,44.86,40.36,35.16,26.51
20200219,42.82,40.2,35.6,25.61
20200218,39.69,40.3,34.05,26.69
20200217,36.5,40.5,31.73,26.64
20200214,43.54,41.69,37.13,27.84
20200213,47.76,38.72,35.01,25.57
20200212,40.18,38.14,33.33,24.72
20200211,40.1,44.65,35.63,25.68
20200210,39.89,37.21,28.54,21.59
20200207,47.31,39.3,35.8,27.38
20200206,45.42,43.84,35.17,25.17
20200205,43.24,43.99,36.49,27.09
20200204,47.01,38.68,34.17,25.97
20200203,41.59,37.67,26.94,15.98
20200131,38.91,36.78,28.7,23.73
20200130,38.35,35.43,31.15,25.24
20200129,36.57,36.7,30.08,24.7
20200128,41.91,38.89,21.52,26.21
20200123,43.58,43.18,33.32,29.55
20200122,41.36,42.06,30.82,23.66
20200121,46.3,43.01,30.31,24.51
20200120,46.6,41.16,28.37,17.09
20200117,44.14,42.38,34.82,29.05
20200116,43.49,39.29,29.46,27.01
20200115,46.65,39.69,30.08,23.83
20200114,43.41,35.72,27.11,26.52
20200113,43.19,42.16,32.7,24.11
20200110,45.02,41.82,29.92,28.62
20200109,46.43,40.94,35.52,28.86
20200108,44.88,41.7,30.97,25.33
20200107,41.33,37.06,29.73,20.59
20200106,39.21,37.34,25.93,19.12
20200103,46.52,39.19,33.5,29.9
20200102,45.7,38.86,29.86,25.37
20191231,39.45,35.97,30.66,34.33
20191230,39.45,35.97,30.66,34.33
20191227,40.78,37.08,27.84,30.22
20191226,40.78,37.08,27.84,30.22
20191224,40.78,37.08,27.84,30.22
20191223,38.89,35.07,35.55,33.61
20191220,38.75,37.31,28.95,24.66
20191219,42.09,41.92,40.53,34.41
20191218,42.09,41.92,40.53,34.41
20191217,34.36,35.68,32.61,29.96
20191216,34.36,35.68,32.61,29.96
20191213,38.22,31.91,23.13,17.84
20191212,38.22,31.91,23.13,17.84
20191211,37.2,36.38,31.35,30.35
20191210,37.2,36.38,31.35,30.35
20191209,39.1,35.77,30.27,27.24
20191206,39.1,35.77,30.27,27.24
20191205,36.81,35.44,26.89,23.62
20191204,36.81,35.44,26.89,23.62
20191203,38.15,33.87,25.59,18.77
20191202,38.15,33.87,25.59,18.77
20191129,40.52,35.97,24.99,19.75
20191128,40.52,35.97,24.99,19.75
20191127,42.7,35.2,30.81,25.79
20191126,42.7,35.2,30.81,25.79
20191125,39.67,36.15,29.51,23.34
20191122,39.67,36.15,29.51,23.34
20191121,36.24,35.12,30.43,24.2
20191120,36.24,35.12,30.43,24.2
20191119,34.73,36.89,28.6,22.24
20191118,34.73,36.89,28.6,22.24
20191115,37.79,34.95,24.43,15.01
20191114,37.79,34.95,24.43,15.01
20191113,37.85,37.49,32.86,28.16
20191112,37.85,37.49,32.86,28.16
20191111,34.88,36.39,28.61,25.03
20191108,34.88,36.39,28.61,25.03
20191107,36.73,32.39,24.34,19.47
20191106,36.73,32.39,24.34,19.47
20191105,39.48,37.25,27.02,23.94
20191104,39.48,37.25,27.02,23.94
20191101,34.41,34.17,23.7,18.09
20191031,34.41,34.17,23.7,18.09
20191030,40.86,35.66,29.95,25.93
20191029,41,37.26,32.2,19.25
20191028,38.56,34.3,29.9,23.25
20191025,38.07,33.39,24.6,16.39
20191024,37.94,39.58,31.9,21.13
20191023,37.02,35.89,32.16,21.17
20191022,40,35.66,29.48,20.33
20191021,37.72,37.03,31.55,18.3
20191018,37.36,34.03,25.33,16.1
20191017,38.77,33.03,27.35,18.11
20191016,39.15,33.61,30.47,26.74
20191015,38.09,36.06,28.8,22.16
20191014,39.95,32.5,25.5,16.71
20191011,37.1,30.77,20.81,12.68
20191008,36.76,34.64,30.68,25.13
20191007,37.99,34.92,29.8,22.09
20191006,39.83,34.75,29.29,19.66
20191005,36.84,36.09,29.37,20.84
20191004,37.44,35.96,24.53,14.87
20191001,42.02,36.89,29.99,25.44
20190930,37.78,37.73,27.59,22.25
20190927,35.78,26.28,22.33,15.58
20190926,39.97,33.77,29.73,26.79
20190925,39.04,37.23,29.22,24.03
20190924,40.2,36.29,28.62,21.79
20190923,36,36.95,30.82,23.51
20190920,38.04,35.19,23.43,13.44
20190919,38.87,33.5,30.46,25.4
20190918,38.6,37.15,28.14,22.4
20190917,35.09,37.33,30.57,19.49
20190916,35.39,32.94,29,21.39
20190911,40.67,34.78,29.97,26.22
20190910,36.42,33.25,27.47,20.43
20190909,42.52,41.06,39.98,34.39
20190906,38.69,35.24,27.77,23.82
20190905,35.21,30.85,19.64,10.41
20190904,39.78,34.29,32.46,31.28
20190903,41.27,40.59,37.81,35.72
20190902,38.04,30.93,27.05,18.59
20190830,39.14,36.52,24.37,18.12
20190829,37.5,36.71,30.58,22.62
20190828,37.1,37.58,32.21,22.22
20190827,39.58,32.14,28.09,21.42
20190826,38.25,35.44,26.49,19.25
20190823,36.81,35.44,23.27,14.72
20190822,38.25,36.25,29.52,23.43
20190821,41.21,34.51,29.27,22.08
20190820,35.42,35.19,26.32,18.68
20190819,37.76,34.59,24.42,18.09
20190816,38.05,33.34,22.89,23.39
20190814,38.28,40.82,34.48,35.47
20190813,37.59,39.29,38.15,34.81
20190812,37.63,35.44,28.54,25.38
20190809,38.02,37.63,27.89,14.32
20190808,37.91,36.77,22.41,12.84
20190807,39.14,38.79,30.78,21.38
20190806,35.93,35.88,27.84,18.06
20190805,37.55,36.33,27.63,15.91
20190802,34.21,37.06,27.01,19.13
20190801,36.79,32.2,21.48,14.56
20190731,40.01,35.27,27.27,19.26
20190730,36.96,36.44,27.33,23.76
